Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
129,2003,2,6,0.18,27.3,12.8,1.063955,0.9,-0.163955
130,2003,2,7,0,21.9,1,1.059573,0.95,-0.109573
131,2003,2,8,0,24.6,1.5,1.055335,0.95,-0.105335
132,2003,2,9,0,30.3,3.6,1.05122,0.95,-0.10122
133,2003,2,10,0,36.8,14.4,1.04721,0.95,-0.09721
134,2003,2,11,0,46.8,22.9,1.043291,0.95,-0.093291
135,2003,2,12,0,46.6,25,1.039449,0.95,-0.089449
136,2003,2,13,0.13,43,30.7,1.105939,0.95,-0.155939
137,2003,2,14,0.12,42.7,30,1.032081,0.95,-0.082081
138,2003,2,15,0,47.8,26.7,1.028416,0.95,-0.078416
139,2003,2,16,0,46.3,31.2,1.0248,0.96,-0.0648
140,2003,2,17,0,43,24.3,1.021228,0.95,-0.071228
141,2003,2,18,0,39.2,21.7,1.017699,0.95,-0.067699
142,2003,2,19,0,42.7,21.2,1.014205,0.95,-0.064205
143,2003,2,20,0.05,39.7,24.6,1.015418,0.95,-0.065418
144,2003,2,21,0,43.7,21.8,1.007333,0.95,-0.057333
145,2003,2,22,0,49.8,23.1,1.003934,0.95,-0.053934
146,2003,2,23,0,42,18.5,1.000563,0.95,-0.050563
147,2003,2,24,0,45.8,19.5,0.997219,0.95,-0.047219
148,2003,2,25,0.48,36.3,20.1,0.994485,0.95,-0.044485
149,2003,2,26,0,31.1,20.3,0.990612,0.95,-0.040612
150,2003,2,27,0,34.3,15.6,0.987341,0.95,-0.037341
151,2003,2,28,0.09,35.5,18.4,0.984189,0.95,-0.034189
152,2003,3,1,0.05,36.4,18.7,0.98117,0.95,-0.03117
153,2003,3,2,0.11,31,10.8,0.977666,0.95,-0.027666
154,2003,3,3,0,39.6,19.8,0.974483,0.95,-0.024483
155,2003,3,4,0.09,45.6,24.2,0.989192,0.95,-0.039192
156,2003,3,5,0,33.8,13.6,0.968369,0.95,-0.018369
157,2003,3,6,0,44.2,24,0.965245,0.95,-0.015245
158,2003,3,7,0,47.6,26.8,0.962142,0.95,-0.012142
159,2003,3,8,0,51.2,28.1,0.960052,0.95,-0.010052
160,2003,3,9,0,57,32,0.963652,1,0.036348
161,2003,3,10,0,58.2,31.7,0.961664,1.1,0.138336
162,2003,3,11,0,57.8,32.8,0.957301,1.2,0.242699
163,2003,3,12,0,60.2,32.8,0.974129,1.2,0.225871
164,2003,3,13,0,59.8,37.9,1.029651,1.2,0.170349
165,2003,3,14,0,64.3,41.1,1.188077,1.3,0.111923
166,2003,3,15,0,58.8,39,1.315812,1.3,-0.015812
167,2003,3,16,0.36,52.3,29.4,2.021067,1.3,-0.721067
168,2003,3,17,0,44,29,1.209274,1.3,0.090726
169,2003,3,18,0,43.2,28.7,1.15986,1.2,0.04014
170,2003,3,19,0,42.4,26.2,1.118461,1.2,0.081539
171,2003,3,20,0,45.7,24.1,1.083541,1.2,0.116459
172,2003,3,21,0,46.2,26.3,1.053965,1.2,0.146035
173,2003,3,22,0,51.7,28.5,1.029032,1.2,0.170968
174,2003,3,23,0,62.3,36.6,1.105415,1.2,0.094585
175,2003,3,24,0.02,54.3,31,1.057269,1.2,0.142731
176,2003,3,25,0,45.6,26.7,1.023271,1.2,0.176729
177,2003,3,26,0,58.4,31.6,1.085635,1.2,0.114365
178,2003,3,27,0,57.3,25.8,1.079722,1.2,0.120278
179,2003,3,28,0,42,19.8,1.029619,1.1,0.070381
180,2003,3,29,0,38.1,18,1.006843,1.2,0.193157
181,2003,3,30,0,48.7,19,0.987564,1.1,0.112436
182,2003,3,31,0,58.8,33,1.059955,1.1,0.040045
183,2003,4,1,0,66.4,38.7,1.469431,1.2,-0.269431
184,2003,4,2,0,60.3,39.4,1.563895,1.2,-0.363895
185,2003,4,3,0.31,42.8,18.4,1.363915,1.2,-0.163915
186,2003,4,4,0,37,18.6,1.275334,1.4,0.124666
187,2003,4,5,0.13,42.4,23.3,1.271699,1.2,-0.071699
188,2003,4,6,0,43.8,21.3,1.174427,1.1,-0.074427
189,2003,4,7,0,39.2,22.3,1.134637,1.1,-0.034637
190,2003,4,8,0,43.3,21.4,1.100515,1.2,0.099485
191,2003,4,9,0,57.1,25.8,1.072078,1.2,0.127922
192,2003,4,10,0,68.2,36.1,1.477332,1.2,-0.277332
